path,psnr,ssim,lpips
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_2816.png,6.5382,0.0116,0.0113
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_2880.png,6.6149,0.0123,0.0114
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_2944.png,6.6818,0.0130,0.0114
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3008.png,6.7334,0.0129,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3072.png,6.8761,0.0125,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3136.png,6.8395,0.0120,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3200.png,6.8344,0.0121,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3264.png,6.7509,0.0127,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3328.png,6.6884,0.0118,0.0119
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3392.png,6.5931,0.0121,0.0119
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3456.png,6.5945,0.0126,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3520.png,6.6212,0.0129,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3584.png,6.6905,0.0127,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3648.png,6.7280,0.0128,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3712.png,6.5477,0.0134,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3776.png,6.7530,0.0130,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3840.png,6.9069,0.0130,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3904.png,6.8721,0.0126,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_3968.png,6.6689,0.0117,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4032.png,6.5770,0.0116,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4096.png,6.8248,0.0120,0.0118
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4160.png,6.7686,0.0122,0.0118
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4224.png,6.7792,0.0121,0.0118
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4288.png,6.6911,0.0126,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4352.png,6.5386,0.0128,0.0114
